,Date,sensor,value
1,06/02/21 13:05:50,Promedio,31.591098980166926
1,06/02/21 13:05:50,Varianza,28.01628847465882
1,06/02/21 13:05:50,Mediana,32.21627652664866
1,06/02/21 13:05:50,Desviacion,5.159018710077128
49,06/02/21 13:05:50,Temperatura,30.62347316674768
50,06/02/21 13:05:51,Temperatura,28.08418773301718
51,06/02/21 13:05:52,Temperatura,33.45766735497978
1,06/02/21 13:05:53,Maximo,42.93101943467935
1,06/02/21 13:05:53,Minimo,22.26215957153752
1,06/02/21 13:05:53,Promedio,31.477709037307964
1,06/02/21 13:05:53,Varianza,24.942389423013363
1,06/02/21 13:05:53,Mediana,31.96288190329263
1,06/02/21 13:05:53,Desviacion,4.884458793865427
52,06/02/21 13:05:53,Temperatura,27.125965591815874
53,06/02/21 13:05:54,Temperatura,35.429648798978384
54,06/02/21 13:05:55,Temperatura,35.386188424385594
55,06/02/21 13:05:56,Temperatura,28.335583852264545
56,06/02/21 13:05:57,Temperatura,22.567260152014228
57,06/02/21 13:05:58,Temperatura,28.151616398236023
58,06/02/21 13:05:59,Temperatura,31.137121813401933
59,06/02/21 13:06:00,Temperatura,32.66841143022614
60,06/02/21 13:06:01,Temperatura,17.368449844765443
61,06/02/21 13:06:02,Temperatura,31.385987188749883
62,06/02/21 13:06:03,Temperatura,32.65381971181322
63,06/02/21 13:06:04,Temperatura,29.77983046369135
64,06/02/21 13:06:05,Temperatura,28.3513414107061
65,06/02/21 13:06:06,Temperatura,14.216464182663053
66,06/02/21 13:06:08,Temperatura,35.068172410493446
67,06/02/21 13:06:09,Temperatura,28.03646049945134
68,06/02/21 13:06:10,Temperatura,37.93750994218194
69,06/02/21 13:06:11,Temperatura,32.92554542108784
70,06/02/21 13:06:12,Temperatura,33.841488729276094
71,06/02/21 13:06:13,Temperatura,41.77400215680966
72,06/02/21 13:06:14,Temperatura,34.456753985206376
73,06/02/21 13:06:15,Temperatura,35.85735245601807
74,06/02/21 13:06:16,Temperatura,32.078721761726705
75,06/02/21 13:06:17,Temperatura,37.073767272584774
76,06/02/21 13:06:18,Temperatura,32.89640581481492
77,06/02/21 13:06:19,Temperatura,28.88016120845282
78,06/02/21 13:06:20,Temperatura,27.770063848990713
79,06/02/21 13:06:21,Temperatura,25.090161115608343
80,06/02/21 13:06:22,Temperatura,30.095902627131856
81,06/02/21 13:06:23,Temperatura,28.928899747923964
82,06/02/21 13:06:24,Temperatura,33.57879998523139
83,06/02/21 13:06:25,Temperatura,26.19130563613316
84,06/02/21 13:06:26,Temperatura,28.40557777204785
85,06/02/21 13:06:27,Temperatura,29.89085553306757
86,06/02/21 13:06:28,Temperatura,36.47938464476553
87,06/02/21 13:06:29,Temperatura,29.101485014153905
88,06/02/21 13:06:30,Temperatura,35.781339494619914
89,06/02/21 13:06:31,Temperatura,30.864714473854466
90,06/02/21 13:06:32,Temperatura,35.06872890512319
91,06/02/21 13:06:33,Temperatura,37.43784527196071
92,06/02/21 13:06:34,Temperatura,28.25698685157029
93,06/02/21 13:06:35,Temperatura,32.89750270179484
94,06/02/21 13:06:36,Temperatura,37.99188410017798
95,06/02/21 13:06:37,Temperatura,22.369492430156633
96,06/02/21 13:06:38,Temperatura,27.917359876706495
97,06/02/21 13:06:39,Temperatura,37.16416855802735
98,06/02/21 13:06:40,Temperatura,26.330714868107258
99,06/02/21 13:06:41,Temperatura,37.07700111849486
100,06/02/21 13:06:42,Temperatura,31.845551629521452
101,06/02/21 13:06:43,Temperatura,30.901584182727028
102,06/02/21 13:06:44,Temperatura,33.574743947278385
103,06/02/21 13:06:45,Temperatura,25.467841200654046
104,06/02/21 13:06:46,Temperatura,25.263665721285918
105,06/02/21 13:06:47,Temperatura,31.469852053335256
1,06/02/21 13:06:48,Maximo,42.93101943467935
1,06/02/21 13:06:48,Minimo,14.216464182663051
1,06/02/21 13:06:48,Promedio,31.072529247926614
1,06/02/21 13:06:48,Varianza,25.960489689753018
1,06/02/21 13:06:48,Mediana,31.456532620560598
1,06/02/21 13:06:48,Desviacion,5.061950263782031
106,06/02/21 13:06:48,Temperatura,36.4178756815008
107,06/02/21 13:06:49,Temperatura,24.5525225319537
108,06/02/21 13:06:50,Temperatura,31.00617090154837
1,06/02/21 13:06:51,Maximo,42.93101943467935
1,06/02/21 13:06:51,Minimo,14.216464182663051
1,06/02/21 13:06:51,Promedio,31.057016515066902
1,06/02/21 13:06:51,Varianza,25.874247902938702
1,06/02/21 13:06:51,Mediana,31.42125990465524
1,06/02/21 13:06:51,Desviacion,5.0547818750319955
109,06/02/21 13:06:51,Temperatura,33.40754062169269
110,06/02/21 13:06:52,Temperatura,28.874446860612153
111,06/02/21 13:06:53,Temperatura,31.407379770456142
112,06/02/21 13:06:54,Temperatura,42.07447256800415
113,06/02/21 13:06:56,Temperatura,20.098387934092216
114,06/02/21 13:06:57,Temperatura,27.700813808473093
115,06/02/21 13:06:58,Temperatura,25.05813398106909
116,06/02/21 13:06:59,Temperatura,26.583473820327725
117,06/02/21 13:07:00,Temperatura,27.70922952336728
118,06/02/21 13:07:01,Temperatura,18.814337382438147
119,06/02/21 13:07:02,Temperatura,31.93979960875386
120,06/02/21 13:07:03,Temperatura,35.19725053886767
121,06/02/21 13:07:04,Temperatura,29.092361409778164
122,06/02/21 13:07:05,Temperatura,29.043867753469996
123,06/02/21 13:07:06,Temperatura,30.064807041915664
124,06/02/21 13:07:07,Temperatura,20.31279878954261
125,06/02/21 13:07:08,Temperatura,28.45526166613025
126,06/02/21 13:07:09,Temperatura,32.28516174163005
127,06/02/21 13:07:10,Temperatura,25.84974480526784
128,06/02/21 13:07:11,Temperatura,29.42396042660442
129,06/02/21 13:07:12,Temperatura,24.83532531420431
130,06/02/21 13:07:13,Temperatura,35.18940211087127
131,06/02/21 13:07:14,Temperatura,20.913434267321506
132,06/02/21 13:07:15,Temperatura,27.547303006272873
133,06/02/21 13:07:16,Temperatura,29.272462840291702
134,06/02/21 13:07:17,Temperatura,31.92188453414408
135,06/02/21 13:07:18,Temperatura,28.938819769404702
136,06/02/21 13:07:19,Temperatura,26.9330296578582
137,06/02/21 13:07:20,Temperatura,34.55112746079731
138,06/02/21 13:07:21,Temperatura,34.25524707907955
139,06/02/21 13:07:22,Temperatura,34.07220100858628
140,06/02/21 13:07:23,Temperatura,23.686691584847747
141,06/02/21 13:07:24,Temperatura,24.807562350868853
142,06/02/21 13:07:25,Temperatura,34.08606132321647
143,06/02/21 13:07:26,Temperatura,28.335569738729777
144,06/02/21 13:07:27,Temperatura,34.19277967572802
145,06/02/21 13:07:28,Temperatura,20.00158492155097
146,06/02/21 13:07:29,Temperatura,29.20639597458295
147,06/02/21 13:07:30,Temperatura,26.860102602907514
148,06/02/21 13:07:31,Temperatura,35.57553512722275
149,06/02/21 13:07:32,Temperatura,33.89897625147769
150,06/02/21 13:07:33,Temperatura,31.04423510814376
151,06/02/21 13:07:34,Temperatura,34.308895898919715
152,06/02/21 13:07:35,Temperatura,31.289631423781163
153,06/02/21 13:07:36,Temperatura,24.980482313285457
154,06/02/21 13:07:37,Temperatura,32.6840481358177
155,06/02/21 13:07:39,Temperatura,30.776228656718967
156,06/02/21 13:07:40,Temperatura,25.74597456517983
157,06/02/21 13:07:41,Temperatura,30.751648414095182
158,06/02/21 13:07:42,Temperatura,35.723184851669856
159,06/02/21 13:07:43,Temperatura,28.923388287962943
160,06/02/21 13:07:44,Temperatura,36.976039188384725
161,06/02/21 13:07:45,Temperatura,32.0269970825164
162,06/02/21 13:07:46,Temperatura,31.386786747441004
163,06/02/21 13:07:47,Temperatura,32.463020247493056
164,06/02/21 13:07:48,Temperatura,31.64955554932952
165,06/02/21 13:07:49,Temperatura,29.90125053540723
166,06/02/21 13:07:50,Temperatura,31.025252701010533
167,06/02/21 13:07:51,Temperatura,36.98448491268502
168,06/02/21 13:07:52,Temperatura,39.28356357998847
169,06/02/21 13:07:53,Temperatura,29.351193523908353
170,06/02/21 13:07:54,Temperatura,31.890410119307038
171,06/02/21 13:07:55,Temperatura,32.75021725337426
172,06/02/21 13:07:56,Temperatura,31.89531094442032
173,06/02/21 13:07:57,Temperatura,34.71227004916654
174,06/02/21 13:07:58,Temperatura,24.584092862772298
175,06/02/21 13:07:59,Temperatura,32.12675455204142
176,06/02/21 13:08:00,Temperatura,26.337908284148217
177,06/02/21 13:08:01,Temperatura,18.98566295770337
178,06/02/21 13:08:02,Temperatura,24.106082762963506
179,06/02/21 13:08:03,Temperatura,25.761813352931377
180,06/02/21 13:08:04,Temperatura,21.863480184899906
181,06/02/21 13:08:05,Temperatura,22.639497951517328
182,06/02/21 13:08:06,Temperatura,27.75270740840281
183,06/02/21 13:08:07,Temperatura,32.8888043330895
184,06/02/21 13:08:08,Temperatura,32.98637014999345
185,06/02/21 13:08:09,Temperatura,27.91714301040319
186,06/02/21 13:08:10,Temperatura,26.938425986930028
1,06/02/21 13:08:10,Maximo,42.93101943467935
1,06/02/21 13:08:10,Minimo,14.216464182663051
1,06/02/21 13:08:10,Promedio,30.319296593326666
1,06/02/21 13:08:10,Varianza,24.800718289585514
1,06/02/21 13:08:11,Mediana,30.883149328290745
1,06/02/21 13:08:11,Desviacion,4.964247346590663
187,06/02/21 13:08:11,Temperatura,30.48114113624964
188,06/02/21 13:08:12,Temperatura,30.285383848357775
189,06/02/21 13:08:13,Temperatura,25.324954512569697
1,06/02/21 13:08:13,Maximo,42.93101943467935
1,06/02/21 13:08:13,Minimo,14.216464182663051
1,06/02/21 13:08:13,Promedio,30.289070442501803
1,06/02/21 13:08:13,Varianza,24.490852969773165
1,06/02/21 13:08:13,Mediana,30.776228656718967
1,06/02/21 13:08:13,Desviacion,4.9334304363781225
190,06/02/21 13:08:14,Temperatura,37.507658357710355
191,06/02/21 13:08:15,Temperatura,33.229546919181814
192,06/02/21 13:08:16,Temperatura,37.05349964100397
193,06/02/21 13:08:17,Temperatura,30.000526700787102
194,06/02/21 13:08:18,Temperatura,24.888735075211088
195,06/02/21 13:08:19,Temperatura,37.346438300197896
196,06/02/21 13:08:20,Temperatura,28.216305026519105
197,06/02/21 13:08:21,Temperatura,33.08496655781258
198,06/02/21 13:08:22,Temperatura,32.10752177229995
199,06/02/21 13:08:23,Temperatura,24.42364319199836
200,06/02/21 13:08:25,Temperatura,28.31841116795066
201,06/02/21 13:08:26,Temperatura,33.460764673250665
202,06/02/21 13:08:27,Temperatura,32.05756109231828
203,06/02/21 13:08:28,Temperatura,26.38532981397412
204,06/02/21 13:08:29,Temperatura,31.944636755050105
205,06/02/21 13:08:30,Temperatura,30.15654613170408
206,06/02/21 13:08:31,Temperatura,35.16758814818302
207,06/02/21 13:08:32,Temperatura,25.75872083849528
208,06/02/21 13:08:33,Temperatura,25.401667414874023
209,06/02/21 13:08:34,Temperatura,33.649224204882564
210,06/02/21 13:08:35,Temperatura,25.14188983314691
211,06/02/21 13:08:36,Temperatura,27.287117525744414
212,06/02/21 13:08:37,Temperatura,23.55493169298824
213,06/02/21 13:08:38,Temperatura,32.61656208223905
214,06/02/21 13:08:39,Temperatura,27.15036508478886
215,06/02/21 13:08:40,Temperatura,30.224712163315637
216,06/02/21 13:08:41,Temperatura,33.20025353582716
217,06/02/21 13:08:42,Temperatura,28.49594024030332
218,06/02/21 13:08:43,Temperatura,29.244166409906445
219,06/02/21 13:08:44,Temperatura,21.631111431805508
220,06/02/21 13:08:45,Temperatura,24.14091662033878
221,06/02/21 13:08:46,Temperatura,26.07751394189596
222,06/02/21 13:08:47,Temperatura,32.8623616563056
223,06/02/21 13:08:48,Temperatura,22.934648310545718
224,06/02/21 13:08:49,Temperatura,32.99521060376009
225,06/02/21 13:08:50,Temperatura,31.744925740242397
226,06/02/21 13:08:51,Temperatura,24.425980104111957
227,06/02/21 13:08:52,Temperatura,37.72954263203761
228,06/02/21 13:08:53,Temperatura,28.374902920243464
229,06/02/21 13:08:54,Temperatura,41.999918168047
230,06/02/21 13:08:55,Temperatura,34.614902888816204
231,06/02/21 13:08:56,Temperatura,32.91227941625022
232,06/02/21 13:08:57,Temperatura,30.12218005318948
233,06/02/21 13:08:58,Temperatura,26.741647566941147
234,06/02/21 13:08:59,Temperatura,29.519678528775252
235,06/02/21 13:09:00,Temperatura,31.194596473843827
236,06/02/21 13:09:01,Temperatura,37.136065877093735
237,06/02/21 13:09:02,Temperatura,29.298741010737153
238,06/02/21 13:09:03,Temperatura,27.232726542873138
239,06/02/21 13:09:04,Temperatura,31.218962344031375
240,06/02/21 13:09:05,Temperatura,21.610101047329096
241,06/02/21 13:09:06,Temperatura,34.76304559756575
242,06/02/21 13:09:07,Temperatura,36.15213275944195
243,06/02/21 13:09:08,Temperatura,30.7785201635202
244,06/02/21 13:09:09,Temperatura,39.457543552086854
245,06/02/21 13:09:10,Temperatura,27.91750828631485
246,06/02/21 13:09:11,Temperatura,28.791262496502018
247,06/02/21 13:09:12,Temperatura,34.28377549698283
248,06/02/21 13:09:13,Temperatura,28.083629435889165
249,06/02/21 13:09:14,Temperatura,32.18413619118678
250,06/02/21 13:09:16,Temperatura,32.00451622748414
251,06/02/21 13:09:17,Temperatura,38.90154068028278
252,06/02/21 13:09:18,Temperatura,43.301897304621356
253,06/02/21 13:09:19,Temperatura,31.191917158790265
254,06/02/21 13:09:20,Temperatura,29.911224636487912
255,06/02/21 13:09:21,Temperatura,31.671221729059912
256,06/02/21 13:09:22,Temperatura,29.98981668736296
257,06/02/21 13:09:23,Temperatura,32.750514982101265
258,06/02/21 13:09:24,Temperatura,43.332919539789074
259,06/02/21 13:09:25,Temperatura,27.748970794560655
260,06/02/21 13:09:26,Temperatura,31.64159675307115
261,06/02/21 13:09:27,Temperatura,35.111184660220765
262,06/02/21 13:09:28,Temperatura,28.770214844073536
263,06/02/21 13:09:29,Temperatura,33.70137542149753
264,06/02/21 13:09:30,Temperatura,29.42054446037093
265,06/02/21 13:09:31,Temperatura,30.726273398226553
266,06/02/21 13:09:32,Temperatura,39.92780641815138
267,06/02/21 13:09:33,Temperatura,21.51968698261508
268,06/02/21 13:09:34,Temperatura,33.84488719926685
269,06/02/21 13:09:35,Temperatura,29.46366672492184
270,06/02/21 13:09:36,Temperatura,33.655226284998825
271,06/02/21 13:09:37,Temperatura,30.086163973019257
272,06/02/21 13:09:38,Temperatura,21.690758438646178
273,06/02/21 13:09:39,Temperatura,27.249220286386873
274,06/02/21 13:09:40,Temperatura,29.56025621636014
275,06/02/21 13:09:41,Temperatura,27.79766559833374
276,06/02/21 13:09:42,Temperatura,30.152476695087255
277,06/02/21 13:09:43,Temperatura,34.01225666930697
278,06/02/21 13:09:44,Temperatura,34.4908540784854
279,06/02/21 13:09:45,Temperatura,25.02990624350393
280,06/02/21 13:09:46,Temperatura,23.104494863759
281,06/02/21 13:09:47,Temperatura,30.85969208197078
282,06/02/21 13:09:48,Temperatura,28.638233175037392
283,06/02/21 13:09:49,Temperatura,30.31013161623495
284,06/02/21 13:09:50,Temperatura,27.58373971150151
285,06/02/21 13:09:51,Temperatura,28.256074769772532
286,06/02/21 13:09:52,Temperatura,32.5702421829052
287,06/02/21 13:09:53,Temperatura,29.2548407015447
288,06/02/21 13:09:54,Temperatura,34.16401579759378
289,06/02/21 13:09:55,Temperatura,30.74612125058093
290,06/02/21 13:09:56,Temperatura,27.515169901251046
291,06/02/21 13:09:57,Temperatura,31.427945488029415
292,06/02/21 13:09:58,Temperatura,29.248409217135134
293,06/02/21 13:09:59,Temperatura,28.42717981463599
294,06/02/21 13:10:00,Temperatura,35.8711157601187
295,06/02/21 13:10:01,Temperatura,35.521396816036564
296,06/02/21 13:10:03,Temperatura,26.268544903763015
297,06/02/21 13:10:04,Temperatura,29.28192441157306
298,06/02/21 13:10:05,Temperatura,34.24721603618818
299,06/02/21 13:10:06,Temperatura,42.71912359135794
300,06/02/21 13:10:07,Temperatura,41.50385647105126
301,06/02/21 13:10:08,Temperatura,34.738808057800775
302,06/02/21 13:10:09,Temperatura,37.14450446598411
303,06/02/21 13:10:10,Temperatura,31.53616000664327
304,06/02/21 13:10:11,Temperatura,27.616381362178977
305,06/02/21 13:10:12,Temperatura,23.38705473019999
306,06/02/21 13:10:13,Temperatura,35.435390633766815
307,06/02/21 13:10:14,Temperatura,33.80740788990484
308,06/02/21 13:10:15,Temperatura,26.11930313227611
309,06/02/21 13:10:16,Temperatura,31.588538357191826
310,06/02/21 13:10:17,Temperatura,33.21951890893532
311,06/02/21 13:10:18,Temperatura,31.557874076506167
312,06/02/21 13:10:19,Temperatura,28.621432849583204
313,06/02/21 13:10:20,Temperatura,35.171055775061184
314,06/02/21 13:10:21,Temperatura,32.040385996767206
315,06/02/21 13:10:22,Temperatura,24.77236607236308
316,06/02/21 13:10:23,Temperatura,30.38694857726168
317,06/02/21 13:10:24,Temperatura,30.900739690916467
318,06/02/21 13:10:25,Temperatura,32.189049017455815
319,06/02/21 13:10:26,Temperatura,20.088716528900882
320,06/02/21 13:10:27,Temperatura,33.19317209375308
321,06/02/21 13:10:28,Temperatura,22.449135171750818
322,06/02/21 13:10:29,Temperatura,30.785333567717064
323,06/02/21 13:10:30,Temperatura,19.965445220643026
324,06/02/21 13:10:31,Temperatura,26.476642448632614
325,06/02/21 13:10:32,Temperatura,42.19509793755755
326,06/02/21 13:10:33,Temperatura,32.53980374621572
327,06/02/21 13:10:34,Temperatura,26.729003172512815
328,06/02/21 13:10:35,Temperatura,30.303885735892404
329,06/02/21 13:10:36,Temperatura,29.608089024627255
330,06/02/21 13:10:37,Temperatura,30.81039631430658
331,06/02/21 13:10:38,Temperatura,30.222023815638707
332,06/02/21 13:10:39,Temperatura,27.58145331536495
333,06/02/21 13:10:40,Temperatura,39.065503088045936
334,06/02/21 13:10:41,Temperatura,25.85003749841074
335,06/02/21 13:10:42,Temperatura,20.959539345388762
336,06/02/21 13:10:43,Temperatura,40.05404242562621
337,06/02/21 13:10:44,Temperatura,27.39692815887041
338,06/02/21 13:10:45,Temperatura,36.13451066200507
339,06/02/21 13:10:47,Temperatura,27.907820584798248
340,06/02/21 13:10:48,Temperatura,26.679874482926458
341,06/02/21 13:10:49,Temperatura,28.037095742476524
342,06/02/21 13:10:50,Temperatura,34.78298564019049
343,06/02/21 13:10:51,Temperatura,31.57648969480494
344,06/02/21 13:10:52,Temperatura,28.218269889404677
345,06/02/21 13:10:53,Temperatura,28.115565418291418
346,06/02/21 13:10:54,Temperatura,31.588939351121507
347,06/02/21 13:10:55,Temperatura,31.387324253012018
348,06/02/21 13:10:56,Temperatura,28.14055995597943
349,06/02/21 13:10:57,Temperatura,21.3248660333355
350,06/02/21 13:10:58,Temperatura,23.0748433244301
351,06/02/21 13:10:59,Temperatura,22.594485948510297
352,06/02/21 13:11:00,Temperatura,21.53316070849059
353,06/02/21 13:11:01,Temperatura,26.803142809830053
354,06/02/21 13:11:02,Temperatura,34.41316325218127
355,06/02/21 13:11:03,Temperatura,17.050882678999386
356,06/02/21 13:11:04,Temperatura,31.34418988392668
357,06/02/21 13:11:05,Temperatura,25.122055049302187
358,06/02/21 13:11:06,Temperatura,39.338291952254274
359,06/02/21 13:11:07,Temperatura,28.545925301265992
360,06/02/21 13:11:08,Temperatura,23.64335782722675
361,06/02/21 13:11:09,Temperatura,21.0063778756928
362,06/02/21 13:11:10,Temperatura,30.885452666719594
363,06/02/21 13:11:11,Temperatura,33.61126027220756
364,06/02/21 13:11:12,Temperatura,35.288265633439146
365,06/02/21 13:11:13,Temperatura,30.53546799263905
366,06/02/21 13:11:14,Temperatura,38.201566370672325
367,06/02/21 13:11:15,Temperatura,31.525073799864067
368,06/02/21 13:11:16,Temperatura,28.53373480937626
369,06/02/21 13:11:17,Temperatura,21.466703639002844
370,06/02/21 13:11:18,Temperatura,26.440668416363348
371,06/02/21 13:11:19,Temperatura,29.805509137667368
372,06/02/21 13:11:20,Temperatura,22.542600163680724
373,06/02/21 13:11:21,Temperatura,28.633110157289913
374,06/02/21 13:11:22,Temperatura,30.129868948496195
375,06/02/21 13:11:23,Temperatura,35.60755423417308
376,06/02/21 13:11:24,Temperatura,30.79584691638297
377,06/02/21 13:11:25,Temperatura,23.904478336486864
378,06/02/21 13:11:26,Temperatura,22.896762947325662
379,06/02/21 13:11:27,Temperatura,24.909427072856076
380,06/02/21 13:11:28,Temperatura,22.476906567380944
381,06/02/21 13:11:29,Temperatura,31.771548478613234
382,06/02/21 13:11:30,Temperatura,36.28366321096771
383,06/02/21 13:11:31,Temperatura,35.677085474682784
384,06/02/21 13:11:33,Temperatura,32.336859373918216
385,06/02/21 13:11:34,Temperatura,28.410045077206785
386,06/02/21 13:11:35,Temperatura,25.951584233241494
387,06/02/21 13:11:36,Temperatura,31.452068091258305
388,06/02/21 13:11:37,Temperatura,16.61622216684082
389,06/02/21 13:11:38,Temperatura,36.87809615569388
390,06/02/21 13:11:39,Temperatura,21.818519349320646
391,06/02/21 13:11:40,Temperatura,29.57259379214895
392,06/02/21 13:11:41,Temperatura,25.708318553806254
1,14/02/21 14:20:57,Maximo,43.332919539789074
1,14/02/21 14:20:59,Minimo,14.216464182663051
1,14/02/21 14:20:59,Promedio,30.204011751849226
1,14/02/21 14:21:02,Varianza,25.201449161036273
1,14/02/21 14:21:02,Mediana,30.307008676063678
1,14/02/21 14:21:04,Desviacion,5.013204006480672
0,14/02/21 14:25:57,Temperatura,33.11321894854472
1,14/02/21 14:26:01,Temperatura,35.17396767162387
2,14/02/21 14:26:03,Temperatura,34.8855141728809
3,14/02/21 14:26:04,Temperatura,30.15090593726842
4,14/02/21 14:26:05,Temperatura,25.074599210320386
5,14/02/21 14:26:07,Temperatura,34.893446828750555
6,14/02/21 14:26:08,Temperatura,26.61247526129153
7,14/02/21 14:26:09,Temperatura,37.27602217124827
8,14/02/21 14:26:11,Temperatura,36.63266913645941
9,14/02/21 14:26:12,Temperatura,27.343216647489303
10,14/02/21 14:26:13,Temperatura,29.796301788093647
11,14/02/21 14:26:15,Temperatura,31.040615333933214
12,14/02/21 14:26:16,Temperatura,24.2500909705078
13,14/02/21 14:26:17,Temperatura,31.75065802369756
14,14/02/21 14:26:19,Temperatura,29.637900535982546
15,14/02/21 14:26:20,Temperatura,36.525666192953594
16,14/02/21 14:26:21,Temperatura,31.50882583017628
17,14/02/21 14:26:23,Temperatura,38.99251145690049
18,14/02/21 14:26:24,Temperatura,32.443281624297185
19,14/02/21 14:26:25,Temperatura,34.485783571284806
20,14/02/21 14:26:27,Temperatura,37.311239038923844
21,14/02/21 14:26:28,Temperatura,30.831338306579585
22,14/02/21 14:26:29,Temperatura,29.97246961903624
23,14/02/21 14:26:31,Temperatura,31.315757318853812
24,14/02/21 14:26:32,Temperatura,32.80749055251579
25,14/02/21 14:26:33,Temperatura,28.07361316796976
26,14/02/21 14:26:35,Temperatura,43.04586657215832
27,14/02/21 14:26:36,Temperatura,31.670700739769217
28,14/02/21 14:26:37,Temperatura,20.003488491684948
29,14/02/21 14:26:39,Temperatura,32.35217960124686
30,14/02/21 14:26:40,Temperatura,30.215279852689825
31,14/02/21 14:26:41,Temperatura,31.856924990077413
32,14/02/21 14:26:43,Temperatura,27.813917831532503
33,14/02/21 14:26:44,Temperatura,31.005459604243093
34,14/02/21 14:26:46,Temperatura,33.39120529151641
35,14/02/21 14:26:47,Temperatura,29.48635683171031
36,14/02/21 14:26:49,Temperatura,33.4114716553096
37,14/02/21 14:26:50,Temperatura,27.881559133263163
38,14/02/21 14:26:52,Temperatura,28.463178351103704
39,14/02/21 14:26:53,Temperatura,34.628058195548725
40,14/02/21 14:26:55,Temperatura,34.31876123001199
41,14/02/21 14:26:57,Temperatura,26.710312057020644
42,14/02/21 14:26:58,Temperatura,29.414770571850735
43,14/02/21 14:27:00,Temperatura,30.53028537142656
44,14/02/21 14:27:01,Temperatura,33.9971995789302
45,14/02/21 14:27:02,Temperatura,29.711526494904014
46,14/02/21 14:27:04,Temperatura,29.686249695506536
47,14/02/21 14:27:05,Temperatura,31.711871275270045
48,14/02/21 14:27:07,Temperatura,33.911080543289266
49,14/02/21 14:27:08,Temperatura,43.41179621332438
50,14/02/21 14:27:09,Temperatura,31.874506074452135
51,14/02/21 14:27:11,Temperatura,34.78056878449301
52,14/02/21 14:27:12,Temperatura,25.375473790495285
53,14/02/21 14:27:14,Temperatura,24.490415122791724
54,14/02/21 14:27:15,Temperatura,36.565153797900344
55,14/02/21 14:27:16,Temperatura,31.26704467747273
56,14/02/21 14:27:18,Temperatura,17.424225302308123
57,14/02/21 14:27:19,Temperatura,30.995428269577495
58,14/02/21 14:27:20,Temperatura,24.75783462695356
59,14/02/21 14:27:22,Temperatura,27.272550644366248
60,14/02/21 14:27:23,Temperatura,41.338782784603936
61,14/02/21 14:27:24,Temperatura,31.45186810374253
62,14/02/21 14:27:26,Temperatura,33.00379659342532
63,14/02/21 14:27:27,Temperatura,31.047752218709245
64,14/02/21 14:27:28,Temperatura,29.188076292549976
